Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-034 ( Property List ),Chrome 76.0.3809.100,,,2019-09-03 09:54:04,2019-09-03 09:55:01,57.260s,INCOMPLETE
,,,,,,,
Test Cases/IP0-34 ( Property List ),Chrome 76.0.3809.100,,,2019-09-03 09:54:05,2019-09-03 09:55:01,56.800s,PASSED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:54:05,2019-09-03 09:54:23,17.976s,PASSED
"click(findTestObject(""Object Repository/Report Property List/div_Reports""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:23,2019-09-03 09:54:24,0.925s,PASSED
"click(findTestObject(""Report Property List/a_Property List""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:24,2019-09-03 09:54:24,0.200s,PASSED
"setText(findTestObject(""Report Property List/input_House Number___BVID__171""), ""2"")",Chrome 76.0.3809.100,,,2019-09-03 09:54:24,2019-09-03 09:54:25,0.971s,PASSED
"clearText(findTestObject(""Report Property List/input_House Number___BVID__171""), STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:54:25,2019-09-03 09:54:25,0.153s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:54:25,2019-09-03 09:54:26,1.008s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:54:26,2019-09-03 09:54:26,0.270s,PASSED
"click(findTestObject(""Report Property List/input_Street Name_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:26,2019-09-03 09:54:27,0.145s,PASSED
"click(findTestObject(""Report Property List/li_Jl Mentari Bersinar""), STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-03 09:54:27,2019-09-03 09:54:27,0.203s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:54:27,2019-09-03 09:54:27,0.304s,PASSED
"clearText(findTestObject(""Report Property List/input_Street Name_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:27,2019-09-03 09:54:27,0.123s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:54:27,2019-09-03 09:54:28,1.006s,PASSED
"click(findTestObject(""Report Property List/input_Property Type_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:28,2019-09-03 09:54:28,0.143s,PASSED
"click(findTestObject(""Report Property List/li_Condominiums""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:28,2019-09-03 09:54:29,0.206s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:54:29,2019-09-03 09:54:29,0.316s,PASSED
"clearText(findTestObject(""Report Property List/input_Property Type_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:29,2019-09-03 09:54:29,0.103s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:54:29,2019-09-03 09:54:30,1.005s,PASSED
"click(findTestObject(""Report Property List/input_Property Status_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:30,2019-09-03 09:54:30,0.143s,PASSED
"click(findTestObject(""Report Property List/li_Resident""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:30,2019-09-03 09:54:30,0.223s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:54:30,2019-09-03 09:54:31,0.288s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:54:31,2019-09-03 09:54:32,1.007s,PASSED
"click(findTestObject(""Report Property List/input_Property Status_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:32,2019-09-03 09:54:32,0.105s,PASSED
"click(findTestObject(""Object Repository/Report Property List/li_No Resident""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:32,2019-09-03 09:54:32,0.198s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:54:32,2019-09-03 09:54:32,0.282s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-09-03 09:54:32,2019-09-03 09:54:33,1.007s,PASSED
"click(findTestObject(""Object Repository/Report Property List/a_Edit""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:33,2019-09-03 09:54:33,0.138s,PASSED
"click(findTestObject(""Report Property List/input_Bungalow_vs__search""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:33,2019-09-03 09:54:34,0.208s,PASSED
"click(findTestObject(""Report Property List/li_Bungalow""))",Chrome 76.0.3809.100,,,2019-09-03 09:54:34,2019-09-03 09:55:01,27.002s,PASSED
"click(findTestObject(""Object Repository/Report Property List/button_Update Property Details""))",Chrome 76.0.3809.100,,,2019-09-03 09:55:01,2019-09-03 09:55:01,0.190s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-03 09:55:01,2019-09-03 09:55:01,0.335s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-09-03 09:55:01,2019-09-03 09:55:01,0.159s,PASSED
