Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-036 ( Report Receipt Transactions ),Chrome 76.0.3809.100,,,2019-09-04 06:31:04,2019-09-04 06:31:45,40.428s,INCOMPLETE
,,,,,,,
Test Cases/IP-036 ( Report Receipt Transaction ),Chrome 76.0.3809.100,,,2019-09-04 06:31:05,2019-09-04 06:31:45,40.044s,PASSED
"callTestCase(findTestCase(""IP-001 (Login hit berkali kali)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-04 06:31:05,2019-09-04 06:31:23,18.077s,PASSED
"click(findTestObject(""receipt transactions/div_Reports""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:23,2019-09-04 06:31:24,0.952s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-09-04 06:31:24,2019-09-04 06:31:26,2.005s,PASSED
"click(findTestObject(""receipt transactions/a_Receipts Transactions""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:26,2019-09-04 06:31:26,0.192s,PASSED
"click(findTestObject(""receipt transactions/input_Date Range_date""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:26,2019-09-04 06:31:28,1.345s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:31:28,2019-09-04 06:31:31,3.008s,PASSED
"click(findTestObject(""receipt transactions/button_previous 30 days""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:31,2019-09-04 06:31:31,0.176s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:31:31,2019-09-04 06:31:34,3.007s,PASSED
"setText(findTestObject(""receipt transactions/input_Receipt Number___BVID__176""), ""CBA00021"")",Chrome 76.0.3809.100,,,2019-09-04 06:31:34,2019-09-04 06:31:34,0.260s,PASSED
"clearText(findTestObject(""receipt transactions/input_Receipt Number___BVID__176""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:34,2019-09-04 06:31:34,0.152s,PASSED
"click(findTestObject(""receipt transactions/input_All_vs__search""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:34,2019-09-04 06:31:34,0.262s,PASSED
"click(findTestObject(""receipt transactions/li_Cash""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:34,2019-09-04 06:31:35,0.233s,PASSED
"click(findTestObject(""receipt transactions/a_cash too00023""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:35,2019-09-04 06:31:35,0.177s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:31:35,2019-09-04 06:31:38,3.004s,PASSED
"click(findTestObject(""receipt transactions/button_Email Receipt""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:38,2019-09-04 06:31:38,0.095s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-09-04 06:31:38,2019-09-04 06:31:40,2.008s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-04 06:31:40,2019-09-04 06:31:40,0.326s,PASSED
"click(findTestObject(""receipt transactions/button_Cancel Receipt""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:40,2019-09-04 06:31:41,0.216s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-04 06:31:41,2019-09-04 06:31:41,0.374s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-04 06:31:41,2019-09-04 06:31:44,3.003s,PASSED
"setText(findTestObject(""receipt transactions/input_Enter your password to continue_swal2-input""), ""testing12345"")",Chrome 76.0.3809.100,,,2019-09-04 06:31:44,2019-09-04 06:31:44,0.182s,PASSED
"click(findTestObject(""receipt transactions/button_Yes Cancel""))",Chrome 76.0.3809.100,,,2019-09-04 06:31:44,2019-09-04 06:31:44,0.133s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-09-04 06:31:44,2019-09-04 06:31:45,0.340s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-09-04 06:31:45,2019-09-04 06:31:45,0.193s,PASSED
