Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-002 ( Forgot pin ) and ( Forgot Email ),Chrome 76.0.3809.100,,,2019-09-10 10:35:02,2019-09-10 10:36:18,1m - 16.128s,INCOMPLETE
,,,,,,,
Test Cases/IP-002 (Forgot Pin),Chrome 76.0.3809.100,,,2019-09-10 10:35:02,2019-09-10 10:36:18,1m - 15.730s,FAILED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,,2019-09-10 10:35:03,2019-09-10 10:35:06,3.532s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:35:06,2019-09-10 10:35:11,5.116s,PASSED
"check(findTestObject(""Forgot Pin/Page_iPropio - Login/a_Click here""))",Chrome 76.0.3809.100,,,2019-09-10 10:35:11,2019-09-10 10:35:12,0.351s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/click here.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:35:12,2019-09-10 10:35:13,1.280s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-09-10 10:35:13,2019-09-10 10:35:16,3.009s,PASSED
"setText(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/input_Email Address_email""), ""refqi.hussein@gmail.com"")",Chrome 76.0.3809.100,,,2019-09-10 10:35:16,2019-09-10 10:35:17,0.662s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:35:17,2019-09-10 10:35:22,5.009s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/set email.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:35:22,2019-09-10 10:35:23,0.728s,PASSED
"click(findTestObject(""Forgot Pin/Page_iPropio - Forgot Password/button_SEND PASSWORD REQUEST""))",Chrome 76.0.3809.100,,,2019-09-10 10:35:23,2019-09-10 10:35:23,0.183s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-09-10 10:35:23,2019-09-10 10:35:28,5.008s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/password sent.png"")",Chrome 76.0.3809.100,,,2019-09-10 10:35:28,2019-09-10 10:35:28,0.564s,PASSED
"callTestCase(findTestCase(""IP-021 ( Forgot email )""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-09-10 10:35:28,2019-09-10 10:36:18,49.933s,FAILED
